ANO,CO_MES,CO_PRDT,CO_GEO2,CO_GEO3,kt_true,kt_test,kt_test_lr,experiment_id,oc_true,oc_test,oc_proba
39,03,12,091,999,1220.8531494140625,1283.395265187582,1450.4026529947914,3e3f851a-47b6-4027-891d-4f11b0b7fe8d,1.0,1.0,1.0
39,09,12,091,999,1073.994384765625,648.2140813645071,1462.41632792155,3e3f851a-47b6-4027-891d-4f11b0b7fe8d,1.0,1.0,1.0
40,03,12,091,999,1932.6146240234375,1409.7910331827793,1371.0070760091144,3e3f851a-47b6-4027-891d-4f11b0b7fe8d,1.0,1.0,1.0
40,09,12,091,999,942.1622314453125,679.6117127164206,1392.3261494954431,3e3f851a-47b6-4027-891d-4f11b0b7fe8d,1.0,1.0,1.0
41,03,12,091,999,,1373.054905044314,1440.6279622395834,3e3f851a-47b6-4027-891d-4f11b0b7fe8d,,1.0,1.0
41,09,12,091,999,,674.3323413726808,1307.0193389892577,3e3f851a-47b6-4027-891d-4f11b0b7fe8d,,1.0,1.0
